TITULACION,Total_Egresados
Carrocería,26272.0
"Madera, Mueble y Corcho",26136.0
"Textil, Confección y Piel",26080.0
"Panadería, repostería y confitería",25744.0
Peluquería y estética,25048.0
Transporte y logística,24904.0
Instalaciones frigoríficas y de climatización,24632.0
Mantenimiento de vehículos,23400.0
Edificación y Obra Civil,21384.0
Energías renovables,21040.0
Realización de proyectos de audiovisuales y espectáculos,20832.0
Dirección de servicios en restauración,20536.0
Carpintería y mueble,20048.0
Anatomía patológica y citodiagnóstico,19712.0
Seguridad y Medio Ambiente,18664.0
Química,17352.0
Soldadura y calderería,16976.0
Gestión forestal y del medio natural,16808.0
Jardinería y floristería,15816.0
Agencias de viajes y gestión de eventos,15304.0
Paisajismo y medio rural,15120.0
Producción de audiovisuales y espectáculos,14128.0
Prótesis dentales,13888.0
Organización del mantenimiento de maquinaria de buques y embarcaciones,12872.0
Promoción de igualdad de género,12856.0
Instalaciones de producción de calor,12712.0
Transporte marítimo y pesca de altura,12328.0
Aprovechamiento y conservación del medio natural,11904.0
Automatización y robótica industrial,11384.0
Mantenimiento de instalaciones térmicas y de fluidos,11240.0
Documentación y administración sanitarias,10832.0
"Iluminación, captación y tratamiento de imagen",10544.0
"Animaciones 3D, juegos y entornos interactivos",10432.0
Sonido para audiovisuales y espectáculos,10232.0
Estilismo y dirección de peluquería,10128.0
Mediación comunicativa,9456.0
Educación y control ambiental,9272.0
Mantenimiento electrónico,8992.0
Artes Gráficas,8888.0
Confección y moda,8688.0
Radioterapia y dosimetría,8576.0
Mecatrónica industrial,8512.0
Laboratorio de análisis y de control de calidad,8320.0
Coordinación de emergencias y protección civil,7952.0
Navegación y pesca de litoral,7952.0
Operaciones de laboratorio,7736.0
Eficiencia energética y energía solar térmica,7584.0
Fabricación y montaje,7312.0
Vídeo disc-jockey y sonido,7080.0
Mantenimiento y control de la maquinaria de buques y embarcaciones,6800.0
Acuicultura,6672.0
Reforma y mantenimiento de edificios,6560.0
Mecanizado,6256.0
Mantenimiento electromecánico,6240.0
Producción agroecológica,6200.0
Patronaje y moda,6152.0
Vitivinicultura,6112.0
Tapicería y cortinaje,5656.0
Vestuario a medida y de espectáculos,5584.0
Preimpresión digital,5472.0
Operaciones subacuáticas e hiperbáricas,5256.0
Construcciones metálicas,5248.0
Proyectos de edificación,5112.0
CEGS (LOE),4880.0
Asesoría de imagen personal y corporativa,4672.0
Mantenimiento de viviendas,4520.0
Proyectos de obra civil,4184.0
Diseño y amueblamiento,3696.0
"Obras de interior, decoración y rehabilitación",3696.0
Ciberseguridad en entornos de las tecnologías de la información,3664.0
Audiología protésica,3432.0
Producción agropecuaria,3392.0
Informática de oficina,3096.0
Ganadería y asistencia en sanidad animal,2720.0
Impresión gráfica,2616.0
Instalación y amueblamiento,2392.0
Cultivos acuícolas,2368.0
Electromedicina clínica,2080.0
Actividades domésticas y limpieza de edificios,1968.0
Electromecánica de maquinaria,1912.0
Programación de la producción en fabricación mecánica,1880.0
Redes y estaciones de tratamiento de aguas,1776.0
CEGM (LOE),1760.0
Organización y control de obras de construcción,1672.0
Aprovechamientos forestales,1632.0
Alojamiento y lavandería,1584.0
Química y salud ambiental,1440.0
Mantenimiento de vehículos híbridos y eléctricos,1072.0
Caracterización y maquillaje profesional,1008.0
Aceites de oliva y vinos,976.0
Diseño y gestión de la producción gráfica,800.0
Ciberseguridad en entornos de las tecnologías de operación,784.0
"Fabricación de productos farmacéuticos, biotecnológicos y afines",720.0
Panadería y bollería artesanales,672.0
Química industrial,576.0
Mantenimiento y seguridad en sistemas de vehículos híbridos y eléctricos,320.0
Mantenimiento de estructuras de madera y mobiliario de embarcaciones,304.0
Construcción,160.0
Gestión del agua,144.0
Inteligencia artificial y Big Data,112.0
Instalación y mantenimiento de sistemas conectados a internet (IoT),16.0
